time_s,gaze_x,gaze_y,gaze_z,pupil_size_mm,head_x,head_y,head_z
4.4304,0.0,0.0,1.0,0.0,-0.041,1.6,-8.648
4.4442,0.0,0.0,1.0,0.0,-0.041,1.6,-8.648
4.458,0.0,0.0,1.0,0.0,-0.04,1.6,-8.648
4.4717,0.0,0.0,1.0,0.0,-0.04,1.6,-8.647
4.4857,0.0,0.0,1.0,0.0,-0.039,1.6,-8.647
4.5004,0.0,0.0,1.0,0.0,-0.039,1.6,-8.646
4.5135,0.0,0.0,1.0,0.0,-0.039,1.6,-8.646
4.5277,0.0,0.0,1.0,0.0,-0.038,1.6,-8.647
4.5414,0.0,0.0,1.0,0.0,-0.037,1.6,-8.646
4.5559,0.0,0.0,1.0,0.0,-0.037,1.6,-8.646
4.5703,0.0,0.0,1.0,0.0,-0.037,1.6,-8.646
4.5835,0.0,0.0,1.0,0.0,-0.037,1.6,-8.646
4.5971,0.0,0.0,1.0,0.0,-0.036,1.6,-8.646
4.611,0.0,0.0,1.0,0.0,-0.036,1.6,-8.646
4.6251,0.0,0.0,1.0,0.0,-0.036,1.6,-8.646
4.6389,0.0,0.0,1.0,0.0,-0.035,1.6,-8.646
4.6523,0.0,0.0,1.0,0.0,-0.035,1.6,-8.646
4.6667,0.0,0.0,1.0,0.0,-0.034,1.6,-8.646
4.6807,0.0,0.0,1.0,0.0,-0.033,1.6,-8.646
4.6952,0.0,0.0,1.0,0.0,-0.033,1.6,-8.646
4.7078,0.0,0.0,1.0,0.0,-0.032,1.6,-8.646
4.7222,0.0,0.0,1.0,0.0,-0.031,1.6,-8.646
4.7364,0.0,0.0,1.0,0.0,-0.03,1.6,-8.646
4.7498,0.0,0.0,1.0,0.0,-0.029,1.6,-8.645
4.7637,0.0,0.0,1.0,0.0,-0.028,1.6,-8.645
4.7771,0.0,0.0,1.0,0.0,-0.027,1.6,-8.644
4.7916,0.0,0.0,1.0,0.0,-0.025,1.6,-8.643
4.8062,0.0,0.0,1.0,0.0,-0.023,1.6,-8.643
4.8194,0.0,0.0,1.0,0.0,-0.02,1.6,-8.641
4.8331,0.0,0.0,1.0,0.0,-0.018,1.6,-8.64
4.8468,0.0,0.0,1.0,0.0,-0.016,1.6,-8.639
4.8609,0.0,0.0,1.0,0.0,-0.014,1.6,-8.637
4.8747,0.0,0.0,1.0,0.0,-0.011,1.6,-8.636
4.8889,0.0,0.0,1.0,0.0,-0.008,1.6,-8.635
4.9025,0.0,0.0,1.0,0.0,-0.004,1.6,-8.633
4.9162,0.0,0.0,1.0,0.0,-0.001,1.6,-8.631
4.9304,0.0,0.0,1.0,0.0,0.002,1.6,-8.63
4.9441,0.0,0.0,1.0,0.0,0.006,1.6,-8.628
4.958,0.0,0.0,1.0,0.0,0.01,1.6,-8.627
4.9716,0.0,0.0,1.0,0.0,0.013,1.6,-8.625
4.9862,0.0,0.0,1.0,0.0,0.017,1.6,-8.623
4.9999,0.0,0.0,1.0,0.0,0.021,1.6,-8.621
5.0151,0.0,0.0,1.0,0.0,0.025,1.6,-8.619
5.0275,0.0,0.0,1.0,0.0,0.029,1.6,-8.617
5.0419,0.0,0.0,1.0,0.0,0.032,1.6,-8.615
5.0553,0.0,0.0,1.0,0.0,0.036,1.6,-8.612
5.0697,0.0,0.0,1.0,0.0,0.039,1.6,-8.61
5.0832,0.0,0.0,1.0,0.0,0.042,1.6,-8.608
5.0969,0.0,0.0,1.0,0.0,0.046,1.6,-8.606
5.1111,0.0,0.0,1.0,0.0,0.052,1.6,-8.602
5.1253,0.0,0.0,1.0,0.0,0.055,1.6,-8.6
5.1392,0.0,0.0,1.0,0.0,0.059,1.6,-8.596
5.152,0.0,0.0,1.0,0.0,0.063,1.6,-8.594
5.1664,0.0,0.0,1.0,0.0,0.066,1.6,-8.592
5.1804,0.0,0.0,1.0,0.0,0.069,1.6,-8.59
5.1941,0.0,0.0,1.0,0.0,0.073,1.6,-8.587
5.2087,0.0,0.0,1.0,0.0,0.077,1.6,-8.584
5.2217,0.0,0.0,1.0,0.0,0.079,1.6,-8.582
5.2356,0.0,0.0,1.0,0.0,0.082,1.6,-8.579
5.2493,0.0,0.0,1.0,0.0,0.085,1.6,-8.577
5.2632,0.0,0.0,1.0,0.0,0.087,1.6,-8.575
5.2776,0.0,0.0,1.0,0.0,0.09,1.6,-8.572
5.2927,0.0,0.0,1.0,0.0,0.093,1.6,-8.57
5.3053,0.0,0.0,1.0,0.0,0.095,1.6,-8.568
5.3199,0.0,0.0,1.0,0.0,0.097,1.6,-8.566
5.3331,0.0,0.0,1.0,0.0,0.099,1.6,-8.564
5.3472,0.0,0.0,1.0,0.0,0.102,1.6,-8.561
5.3612,0.0,0.0,1.0,0.0,0.104,1.6,-8.56
5.3751,0.0,0.0,1.0,0.0,0.106,1.6,-8.558
5.3889,0.0,0.0,1.0,0.0,0.108,1.6,-8.556
5.4023,0.0,0.0,1.0,0.0,0.109,1.6,-8.555
5.4164,0.0,0.0,1.0,0.0,0.111,1.6,-8.553
5.4304,0.0,0.0,1.0,0.0,0.113,1.6,-8.552
5.4445,0.0,0.0,1.0,0.0,0.113,1.6,-8.551
